場所名稱,場所區域,場所地址,場所LAT,場所LNG,AED放置地點,AED地點描述,周一至周五起,周一至周五迄,周六起,周六迄,周日起,周日迄,開放使用時間備註,管理員姓名,連絡電話,開放時間緊急連絡電話,管理員AED訓練,AED廠牌,AED型號,AED序號,AED廠牌照片,AED場所位置照片1,AED場所位置照片2,AED場所位置照片3,AED場所位置照片4,AED場所位置照片5,AED場所位置照片6,AED場所位置照片7
乳山遊客中心,金寧鎮,桃園路,24.436711,118.353350,乳山遊客中心,入口處,08:30,17:00,08:30,17:00,08:30,17:00,（除夕休館）,陳筱梅,082-313190,082-313191,Y,PHILIPS,FRX,B13F-02785,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%B9%B3%E5%B1%B1%E9%81%8A%E5%AE%A2%E4%B8%AD%E5%BF%83/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%B9%B3%E5%B1%B1%E9%81%8A%E5%AE%A2%E4%B8%AD%E5%BF%83/2.jpg?raw=true,,,,,
金門縣港務處水頭商港碼頭小三通通關中心大樓,金城鎮,西海路一段五號,24.415305,118.287832,昇恆昌免稅店商業空間哺乳室前,昇恆昌免稅店商業空間哺乳室右前方,00:00,00:00,00:00,00:00,00:00,00:00,,康彗容  洪若華,082-324280,082-324280,Y,PHILIPS,FRX,B12A-01816,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%873/%E9%87%91%E9%96%80%E7%B8%A3%E6%B8%AF%E5%8B%99%E8%99%95%E6%B0%B4%E9%A0%AD%E5%95%86%E6%B8%AF%E7%A2%BC%E9%A0%AD%E5%B0%8F%E4%B8%89%E9%80%9A%E9%80%9A%E9%97%9C%E4%B8%AD%E5%BF%83%E5%A4%A7%E6%A8%93/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%873/%E9%87%91%E9%96%80%E7%B8%A3%E6%B8%AF%E5%8B%99%E8%99%95%E6%B0%B4%E9%A0%AD%E5%95%86%E6%B8%AF%E7%A2%BC%E9%A0%AD%E5%B0%8F%E4%B8%89%E9%80%9A%E9%80%9A%E9%97%9C%E4%B8%AD%E5%BF%83%E5%A4%A7%E6%A8%93/2.jpg?raw=true,,,,,
金門縣立體育場(縣立體育館),金城鎮,金門縣金城鎮民族路261號,24.429859,118.315244,金城體育館,金城體育場館內前門大廳內,08:00,21:30,08:00,21:30,08:00,21:30,中午12:00至13:30及17:30至18:00不開放,許庭榛,082-335311,082-372361,,PHILIPS,HS1,A14B-01671,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8)/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8)/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8)/3.jpg?raw=true,,,,
金門縣立體育場(縣立游泳池),金城鎮,民族路261號,24.429863,118.315242,金門縣立游泳池,金門縣立游泳池館內一樓大廳,06:00,21:00,06:00,21:00,06:00,21:00,開放時間星期一早上06:00至09:30星期二至星期日早上06:00至12:00;下午13:30至17:30;晚上19:00至21:00,許庭榛,082-335311,082-321226,,PHILIPS,HS1,A14B-01945,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E6%B8%B8%E6%B3%B3%E6%B1%A0)/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E6%B8%B8%E6%B3%B3%E6%B1%A0)/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E6%B8%B8%E6%B3%B3%E6%B1%A0)/3.jpg?raw=true,,,,
金門縣立體育場(縣立體育館金湖A館),金湖鎮,士校路5號,24.443770,118.426523,金門縣立體育場金湖館,金門縣立體育場金湖館A館一樓大廳內右側,08:00,21:30,08:00,21:30,08:00,21:30,中午12:00至13:30及下午17:30至18:00不開放,許庭榛,082-335311,082-335311,,PHILIPS,HS1,A14B-01816,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8%E9%87%91%E6%B9%96A%E9%A4%A8)/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8%E9%87%91%E6%B9%96A%E9%A4%A8)/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8%E9%87%91%E6%B9%96A%E9%A4%A8)/3.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8%E9%87%91%E6%B9%96A%E9%A4%A8)/4.jpg?raw=true,,,
金門縣立體育場(縣立體育館金湖B館),金湖鎮,士校路5號,24.444063,118.426781,金門縣立體育場金湖館,金門縣立體育場金湖館B館(羽球館內),08:00,21:30,08:00,21:30,08:00,21:30,中午12:00至13:30;下午17:30至18:00不開放,許庭榛,082-335311,082-335311,,PHILIPS,HS1,A14B-01900,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8%E9%87%91%E6%B9%96B%E9%A4%A8)/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8%E9%87%91%E6%B9%96B%E9%A4%A8)/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8%E9%87%91%E6%B9%96B%E9%A4%A8)/3.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%872/%E9%87%91%E9%96%80%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E5%A0%B4(%E7%B8%A3%E7%AB%8B%E9%AB%94%E8%82%B2%E9%A4%A8%E9%87%91%E6%B9%96B%E9%A4%A8)/4.jpg?raw=true,,,
山外車站,金湖鎮,黃海路90-1號,24.442221,118.414103,山外車站遊客服務中心,山外車站遊客服務中心,07:00,21:30,07:00,21:30,07:00,21:30,,莊宗霈,082-332721,082-332721,Y,PHILIPS,HS1,A14C-04486,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%B1%B1%E5%A4%96%E8%BB%8A%E7%AB%99/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%B1%B1%E5%A4%96%E8%BB%8A%E7%AB%99/2.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E5%B1%B1%E5%A4%96%E8%BB%8A%E7%AB%99/3.JPG?raw=true,,,,
沙美車站,金沙鎮,金門縣金沙鎮環島東路一段112號,24.488898,118.413132,沙美車站遊客服務中心,沙美車站遊客服務中心,07:00,17:43,07:00,17:43,07:00,17:43,,莊宗霈,082-332721,082-332721,Y,PHILIPS,HS1,A14C-04553,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E6%B2%99%E7%BE%8E%E8%BB%8A%E7%AB%99/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E6%B2%99%E7%BE%8E%E8%BB%8A%E7%AB%99/2.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E6%B2%99%E7%BE%8E%E8%BB%8A%E7%AB%99/3.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E6%B2%99%E7%BE%8E%E8%BB%8A%E7%AB%99/4.JPG?raw=true,,,
金城車站,金城鎮,金門縣民生路7號,24.433048,118.320214,金城車站遊客服務中心,金城車站遊客服務中心,07:00,17:51,07:00,17:51,07:00,17:51,,莊宗霈,082-332721,082-332721,Y,PHILIPS,HS1,A14C-04206,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%873/%E9%87%91%E5%9F%8E%E8%BB%8A%E7%AB%99/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%873/%E9%87%91%E5%9F%8E%E8%BB%8A%E7%AB%99/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%873/%E9%87%91%E5%9F%8E%E8%BB%8A%E7%AB%99/3.JPG?raw=true,,,,
烈嶼車站,烈嶼鎮,烈嶼鄉湖下35-1號,24.426884,118.257108,站務室內,站務室內,07:00,17:43,07:00,17:43,07:00,17:43,,莊宗霈,082-332721,082-362428,Y,PHILIPS,HS1,A14C-04603,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%83%88%E5%B6%BC%E8%BB%8A%E7%AB%99/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%83%88%E5%B6%BC%E8%BB%8A%E7%AB%99/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%83%88%E5%B6%BC%E8%BB%8A%E7%AB%99/3.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%83%88%E5%B6%BC%E8%BB%8A%E7%AB%99/4.JPG?raw=true,,,
浯江輪渡有限公司_仙洲號,烈嶼鎮,九井路,24.425841,118.264488,仙洲號座艙,仙洲號座艙,06:00,22:14,06:00,22:14,06:14,22:14,,莊宗霈,082-332721,082-332721,Y,PHILIPS,HS1,A14C-04558,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%B5%AF%E6%B1%9F%E8%BC%AA%E6%B8%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_%E4%BB%99%E6%B4%B2%E8%99%9F/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%B5%AF%E6%B1%9F%E8%BC%AA%E6%B8%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_%E4%BB%99%E6%B4%B2%E8%99%9F/2.jpg?raw=true,,,,,
浯江輪渡有限公司_浯江號,金城鎮,西海路一段5號,24.416257,118.286427,浯江號座艙,浯江號座艙,06:25,22:25,06:25,22:25,06:25,22:25,,莊宗霈,082-332721,082-332721,Y,PHILIPS,HS1,A14C-03954,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%B5%AF%E6%B1%9F%E8%BC%AA%E6%B8%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_%E6%B5%AF%E6%B1%9F%E8%99%9F/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%B5%AF%E6%B1%9F%E8%BC%AA%E6%B8%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_%E6%B5%AF%E6%B1%9F%E8%99%9F/1.gif?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%B5%AF%E6%B1%9F%E8%BC%AA%E6%B8%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_%E6%B5%AF%E6%B1%9F%E8%99%9F/2.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%B5%AF%E6%B1%9F%E8%BC%AA%E6%B8%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_%E6%B5%AF%E6%B1%9F%E8%99%9F/3.jpg?raw=true,,,
浯江輪渡有限公司_太武號,烈嶼鎮,九井路,24.425835,118.264431,太武號駕駛艙,太武號駕駛艙,06:31,22:31,06:31,22:31,06:31,22:31,,莊宗霈,082-332721,082-332721,Y,PHILIPS,HS1,A14C-03958,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%B5%AF%E6%B1%9F%E8%BC%AA%E6%B8%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_%E5%A4%AA%E6%AD%A6%E8%99%9F/1.gif?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%B5%AF%E6%B1%9F%E8%BC%AA%E6%B8%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_%E5%A4%AA%E6%AD%A6%E8%99%9F/2.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%B5%AF%E6%B1%9F%E8%BC%AA%E6%B8%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_%E5%A4%AA%E6%AD%A6%E8%99%9F/3.JPG?raw=true,,,,
福建金門地方法院,金城鎮,金城鎮民權路178號,24.437614,118.318445,法院一樓,本院第一法庭外走道,08:00,17:30,,,,,,周志斌,0919761528,082-327361,Y,PHILIPS,FRX,B13G-03753,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20FRX.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%A6%8F%E5%BB%BA%E9%87%91%E9%96%80%E5%9C%B0%E6%96%B9%E6%B3%95%E9%99%A2/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%A6%8F%E5%BB%BA%E9%87%91%E9%96%80%E5%9C%B0%E6%96%B9%E6%B3%95%E9%99%A2/2.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%A6%8F%E5%BB%BA%E9%87%91%E9%96%80%E5%9C%B0%E6%96%B9%E6%B3%95%E9%99%A2/3.JPG?raw=true,,,,
中國青年救國團直屬福建省金門縣團務指導委員會,金城鎮,環島北路一段1號,24.440451,118.321397,旅友圖書櫃旁,大門進去，左手邊。於旅友圖書櫃旁,06:30,23:00,06:30,23:00,06:30,23:00,,陳延璟,082325722,(082)325722,Y,PHILIPS,HS1,A14H-07314,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%B8%AD%E5%9C%8B%E9%9D%92%E5%B9%B4%E6%95%91%E5%9C%8B%E5%9C%98%E7%9B%B4%E5%B1%AC%E7%A6%8F%E5%BB%BA%E7%9C%81%E9%87%91%E9%96%80%E7%B8%A3%E5%9C%98%E5%8B%99%E6%8C%87%E5%B0%8E%E5%A7%94%E5%93%A1%E6%9C%83/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%B8%AD%E5%9C%8B%E9%9D%92%E5%B9%B4%E6%95%91%E5%9C%8B%E5%9C%98%E7%9B%B4%E5%B1%AC%E7%A6%8F%E5%BB%BA%E7%9C%81%E9%87%91%E9%96%80%E7%B8%A3%E5%9C%98%E5%8B%99%E6%8C%87%E5%B0%8E%E5%A7%94%E5%93%A1%E6%9C%83/2.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%871/%E4%B8%AD%E5%9C%8B%E9%9D%92%E5%B9%B4%E6%95%91%E5%9C%8B%E5%9C%98%E7%9B%B4%E5%B1%AC%E7%A6%8F%E5%BB%BA%E7%9C%81%E9%87%91%E9%96%80%E7%B8%A3%E5%9C%98%E5%8B%99%E6%8C%87%E5%B0%8E%E5%A7%94%E5%93%A1%E6%9C%83/3.jpg?raw=true,,,,
柳營步兵軍事體驗園區,金湖鎮,尚義198號,24.438378,118.367639,管制哨,柳營步兵軍事體驗園區管制哨內,08:00,17:30,08:00,17:30,08:00,17:30,,汪宗亮,0910655942,082-318823,Y,PHILIPS,HS1,A14D-04447,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%9F%B3%E7%87%9F%E6%AD%A5%E5%85%B5%E8%BB%8D%E4%BA%8B%E9%AB%94%E9%A9%97%E5%9C%92%E5%8D%80/1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%9F%B3%E7%87%9F%E6%AD%A5%E5%85%B5%E8%BB%8D%E4%BA%8B%E9%AB%94%E9%A9%97%E5%9C%92%E5%8D%80/2.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E6%9F%B3%E7%87%9F%E6%AD%A5%E5%85%B5%E8%BB%8D%E4%BA%8B%E9%AB%94%E9%A9%97%E5%9C%92%E5%8D%80/3.JPG?raw=true,,,,
柳營步兵軍事體驗園區,金湖鎮,尚義198號,24.438379,118.366828,遊客中心,柳營步兵軍事體驗園區遊客中心,08:00,17:30,08:00,17:30,08:00,17:30,,汪宗亮,0910655942,082-318823,Y,PHILIPS,HS1,A14D-04741,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,,,,,,,
陽明營區,金湖鎮,黃海路763號,24.452015,118.425714,遊客中心,陽明營區遊客中心內,08:00,17:30,08:00,17:30,08:00,17:30,,汪宗亮,0910655942,082-318823,Y,PHILIPS,HS1,A14D-04453,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E9%99%BD%E6%98%8E%E7%87%9F%E5%8D%80/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E9%99%BD%E6%98%8E%E7%87%9F%E5%8D%80/2.JPG?raw=true,,,,,
獅山炮陣地,金沙鎮,陽沙路376號,24.481574,118.432273,遊客中心,獅山炮陣地遊客中心內,08:00,17:00,08:00,17:00,08:00,17:00,,汪宗亮,0910655942,082-355697,Y,PHILIPS,HS1,A14D-04215,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%8D%85%E5%B1%B1%E7%82%AE%E9%99%A3%E5%9C%B0/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%8D%85%E5%B1%B1%E7%82%AE%E9%99%A3%E5%9C%B0/2.JPG?raw=true,,,,,
獅山炮陣地,金沙鎮,陽沙路376號,24.479376,118.434076,砲堡四出口,獅山炮陣地砲堡四出口(小木屋),08:00,17:29,08:00,17:29,08:00,17:29,,汪宗亮,0910655942,082-355697,Y,PHILIPS,HS1,A14D-04452,https://github.com/biglan-1234/googlemap/blob/master/AED%E5%BB%A0%E7%89%8C%E7%85%A7%E7%89%87/PHILIPS%20HS1.jpg?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%8D%85%E5%B1%B1%E7%82%AE%E9%99%A3%E5%9C%B0%20%E7%A0%B2%E5%A0%A14%E5%87%BA%E5%8F%A3/1.JPG?raw=true,https://github.com/biglan-1234/googlemap/blob/master/%E9%87%91%E9%96%80AED%E5%A0%B4%E6%89%80%E7%85%A7%E7%89%874/%E7%8D%85%E5%B1%B1%E7%82%AE%E9%99%A3%E5%9C%B0%20%E7%A0%B2%E5%A0%A14%E5%87%BA%E5%8F%A3/2.JPG?raw=true,,,,,
